smr_U	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
2.54	UK	0.18034319773154356	0.10092368358451477	0.2576273242470662	1298.3858547669936	1004.8874275598935	1582.8560270042176	7199.527739880454	4587.712805463163	13281.198380628704	1	3120.0224896558243	1177.871386787606	5025.968117790132	1	1	1	severe
2.54	UK	0.03486008420335507	0.015842398831790512	0.0561169206453184	1298.3858547669936	1004.8874275598935	1582.8560270042176	37245.63162822286	21756.745593203526	83283.01035953654	1	-444.31379178479426	-983.5206404340212	146.79706196906398	0.071	0.775	0.999	less_severe
2.54	UK	0.0547912707567169	0.03491036919244	0.07640896560564982	1298.3858547669936	1004.8874275598935	1582.8560270042176	23696.947284396094	15811.234353564822	39613.116729483656	1	44.000278772570546	-562.9241053746604	617.1813384476526	0.555	0.995	1	mixed
3	Nigeria	1.4991116195024878	0.7622670677983774	2.1744961770280353	2750.172302441177	2130.629474571623	3350.868420001691	1834.534711533942	1164.3144261362784	3609.2670240230327	1	-1251.0606829386893	-2186.559365566002	-333.1397334549774	0.001	0.639	0.998	severe
3	Nigeria	0.4352502243801037	0.04781761711087809	0.7990333841137466	2750.172302441177	2130.629474571623	3350.868420001691	6318.60053916814	2971.4127910570533	28548.174000401672	0.987	-2314.9220780610735	-2981.6480625818936	-1597.0860901357896	0	0	0.468	less_severe
3	Nigeria	0.5809992355118703	0.18302931500999028	0.9449309639791171	2750.172302441177	2130.629474571623	3350.868420001691	4733.52137893646	2710.9716117271455	13785.709621635819	0.998	-2169.1730669293065	-2859.641007381066	-1444.3028241206687	0	0	0.731	mixed
3	Ecuador	1.373090355598177	0.6796563400961645	1.987515863415889	1604.2334404458268	1242.3561404307743	1942.5387246209493	1168.3378547560724	736.3613821031047	2378.7650222002503	1	2858.3102152482484	599.4075308614899	4892.653414887195	0.997	1	1	severe
3	Ecuador	0.22374007272945215	0.05220309816432506	0.4037612128802328	1604.2334404458268	1242.3561404307743	1942.5387246209493	7170.076512783097	3584.560645158286	27093.737279666402	0.996	-877.0782040751072	-1547.716619160454	-175.2997336117579	0.009	0.386	0.947	less_severe
3	Ecuador	0.38120106148246746	0.18944450780804858	0.5714742611420461	1604.2334404458268	1242.3561404307743	1942.5387246209493	4208.36561736492	2572.7790753425697	8654.142617716687	1	-365.3299906278075	-1115.2961971042303	347.6879500515677	0.165	0.902	0.999	mixed
3	UK	0.18564753422664573	0.10627695609905995	0.2629240250367504	1298.684869441743	1005.2269701662171	1583.1104133390068	6995.432903817931	4497.961027832072	12645.06084801695	1	3249.679719111077	1308.05220335506	5155.964400177589	1	1	1	severe
